IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry,Price_1W,Price_1M,Price_6M,Price_1Y,Return_1W_pct,Return_1M_pct,Return_6M_pct,Return_1Y_pct,Market Cap Size,Success_Q2
2019-09-18,NVST,Envista Holdings Corporation,22.0,17.01,-22.68,2880.0,2019,Medical Instruments & Supplies,27.74,28.77,17.04,25.64,26.09,30.77,-22.55,16.55,Large Cap,1
2019-09-13,ALRS,Alerus Financial Corporation,21.0,20.92,-1.14,530.52,2019,Banks - Regional,18.39,18.03,14.54,18.84,-12.43,-14.14,-30.76,-10.29,Mid Cap,0
2019-09-13,NET,"Cloudflare, Inc.",15.0,124.64,735.87,43190.0,2019,Software - Infrastructure,19.87,15.69,20.59,34.17,32.47,4.6,37.27,127.8,Large Cap,1
2019-09-13,SWTX,"SpringWorks Therapeutics, Inc.",18.0,46.23,156.78,3440.0,2019,Biotechnology,26.16,19.03,33.23,38.96,45.33,5.72,84.61,116.44,Large Cap,1
2019-09-12,TXG,"10x Genomics, Inc.",39.0,8.61,-78.36,1060.0,2019,Health Information Services,61.12,49.3,66.5,125.0,56.72,26.41,70.51,220.51,Mid Cap,1
2019-08-08,INMD,InMode Ltd.,14.0,14.25,1.54,967.13,2019,Medical Devices,9.12,12.07,24.43,15.89,-34.86,-13.79,74.5,13.5,Mid Cap,1
2019-08-01,DT,"Dynatrace, Inc.",16.0,47.58,197.34,14240.0,2019,Software - Application,26.0,22.98,28.68,41.83,62.5,43.62,79.25,161.44,Large Cap,1
2019-08-01,KRUS,"Kura Sushi USA, Inc.",14.0,60.55,346.86,731.78,2019,Restaurants,21.0,25.07,24.04,10.39,50.0,79.07,71.71,-25.79,Mid Cap,0
2019-07-31,BORR,Borr Drilling Limited,9.3,1.62,-82.2,387.68,2019,Oil & Gas Drilling,12.98,10.91,12.59,1.69,39.57,17.31,35.38,-81.83,Mid Cap,0
2019-07-26,VIST,"Vista Energy, S.A.B. de C.V.",9.0,42.77,383.0,4640.0,2019,Oil & Gas E&P,9.28,5.65,8.12,3.62,3.11,-37.22,-9.78,-59.78,Large Cap,0
