IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year,Industry
"Dec 3, 2020",KNTE,"Kinnate Biopharma, Inc.",20.0,2.65,-86.75,125.15,2020,N/A
"Nov 25, 2020",SPRQ,Spartan Acquisition Corp. II,10.0,9.46,-5.4,407.96,2020,N/A
"Nov 24, 2020",OZON,Ozon Holdings PLC,30.0,,,2420.0,2020,N/A
"Nov 24, 2020",VMAR,Vision Marine Technologies Inc.,10.0,6.7,-32.0,7.41,2020,Recreational Vehicles
"Nov 23, 2020",BREZ,Breeze Holdings Acquisition Corp.,10.0,,,48.97,2020,N/A
"Nov 20, 2020",ARBG,Aequi Acquisition Corp.,10.0,,,95.63,2020,N/A
"Nov 20, 2020",KWAC,Kingswood Acquisition Corp.,10.0,13.3,33.0,46.19,2020,N/A
"Nov 20, 2020",MRVI,"Maravai LifeSciences Holdings, Inc.",27.0,2.12,-91.96,538.57,2020,Biotechnology
"Nov 20, 2020",SHC,Sotera Health Company,23.0,12.93,-43.44,3670.0,2020,Diagnostics & Research
"Nov 19, 2020",NGMS,NeoGames S.A.,17.0,,,998.21,2020,N/A
"Nov 19, 2020",OLMA,"Olema Pharmaceuticals, Inc.",19.0,5.59,-71.34,381.64,2020,Biotechnology
"Nov 19, 2020",TLS,Telos Corporation,17.0,2.65,-84.24,198.41,2020,Software - Infrastructure
"Nov 19, 2020",YSG,Yatsen Holding Limited,10.5,4.12,-60.76,378.46,2020,Household & Personal Products
"Nov 13, 2020",BWAC,Better World Acquisition Corp.,10.0,10.85,8.5,70.38,2020,N/A
"Nov 10, 2020",ADOC,Edoc Acquisition Corp.,10.0,2.85,-71.5,10.32,2020,N/A
"Oct 30, 2020",AVIR,"Atea Pharmaceuticals, Inc.",24.0,2.95,-87.83,252.3,2020,Biotechnology
"Oct 30, 2020",LU,Lufax Holding Ltd,13.5,2.95,-78.15,2570.0,2020,Credit Services
"Oct 30, 2020",SHOT,"Safety Shot, Inc.",7.5,0.51,-93.28,37.97,2020,Beverages - Non-Alcoholic
"Oct 29, 2020",ALGM,"Allegro MicroSystems, Inc.",14.0,19.15,36.79,3530.0,2020,Semiconductors
"Oct 29, 2020",GLTO,"Galecto, Inc.",15.0,3.04,-79.47,4.02,2020,Biotechnology
"Oct 29, 2020",LESL,"Leslie's, Inc.",17.0,0.65,-96.18,120.05,2020,Specialty Retail
"Oct 28, 2020",ABST,Absolute Software Corporation,11.0,11.49,4.45,610.81,2020,N/A
"Oct 28, 2020",BDSX,"Biodesix, Inc.",18.0,0.47,-97.37,68.03,2020,Diagnostics & Research
"Oct 28, 2020",BOAC,Bluescape Opportunities Acquisition Corp.,10.0,10.03,0.3,226.55,2020,N/A
"Oct 28, 2020",GATO,"Gatos Silver, Inc.",7.0,14.4,105.71,998.75,2020,N/A
"Oct 28, 2020",MAX,"MediaAlpha, Inc.",19.0,9.82,-47.11,662.55,2020,Internet Content & Information
"Oct 28, 2020",ROOT,"Root, Inc.",27.0,143.61,431.89,2210.0,2020,Insurance - Property & Casualty
"Oct 23, 2020",EUCR,Eucrates Biomedical Acquisition Corp.,10.0,10.04,0.4,42.23,2020,N/A
"Oct 23, 2020",FHTX,Foghorn Therapeutics Inc.,16.0,3.94,-73.13,219.11,2020,Biotechnology
"Oct 22, 2020",ABCM,Abcam PLC,17.5,23.99,37.09,5520.0,2020,N/A
"Oct 22, 2020",GHLD,Guild Holdings Company,15.0,12.87,-13.67,796.53,2020,Mortgage Finance
"Oct 22, 2020",MCFE,McAfee Corp.,20.0,25.99,29.95,4890.0,2020,N/A
"Oct 21, 2020",YGMZ,MingZhu Logistics Holdings Limited,4.0,1.29,-67.5,98.92,2020,Trucking
"Oct 20, 2020",HZON,Horizon Acquisition Corporation II,10.0,11.33,13.25,343.7,2020,N/A
"Oct 16, 2020",ALGS,"Aligos Therapeutics, Inc.",15.0,4.96,-64.13,30.3,2020,Biotechnology
"Oct 16, 2020",BTWN,Bridgetown Holdings Limited,10.0,,,184.3,2020,N/A
"Oct 16, 2020",EAR,"Eargo, Inc.",18.0,2.57,-85.72,53.36,2020,N/A
"Oct 16, 2020",OPT,Opthea Limited,13.5,3.41,-74.74,466.57,2020,Biotechnology
"Oct 16, 2020",PRAX,"Praxis Precision Medicines, Inc.",19.0,39.04,109.9,795.1,2020,Biotechnology
"Oct 16, 2020",TARS,"Tarsus Pharmaceuticals, Inc.",16.0,48.02,198.13,2020.0,2020,Biotechnology
"Oct 15, 2020",ARRY,"Array Technologies, Inc.",22.0,4.93,-77.09,751.89,2020,Solar
"Oct 15, 2020",EBC,"Eastern Bankshares, Inc.",10.0,15.29,54.6,3060.0,2020,Banks - Regional
