IPO Date,Symbol,Company Name,IPO Price,Current,Return,Market Cap,Year
"Nov 19, 2020",TLS,Telos Corporation,17.0,2.52,-85.47,188.67,2020
"Nov 19, 2020",YSG,Yatsen Holding Limited,10.5,4.18,-60.19,383.97,2020
"Nov 13, 2020",BWAC,Better World Acquisition Corp.,10.0,10.85,8.5,70.38,2020
"Nov 10, 2020",ADOC,Edoc Acquisition Corp.,10.0,2.85,-71.5,10.32,2020
"Oct 30, 2020",AVIR,"Atea Pharmaceuticals, Inc.",24.0,2.8,-88.33,239.47,2020
"Oct 30, 2020",LU,Lufax Holding Ltd,13.5,2.91,-78.48,2520.0,2020
"Oct 30, 2020",SHOT,"Safety Shot, Inc.",7.5,0.5,-93.38,36.99,2020
"Oct 29, 2020",ALGM,"Allegro MicroSystems, Inc.",14.0,18.96,35.43,3490.0,2020
"Oct 29, 2020",GLTO,"Galecto, Inc.",15.0,2.98,-80.2,3.94,2020
"Oct 29, 2020",LESL,"Leslie's, Inc.",17.0,0.66,-96.11,122.51,2020
"Oct 28, 2020",ABST,Absolute Software Corporation,11.0,11.49,4.45,610.81,2020
"Oct 28, 2020",BDSX,"Biodesix, Inc.",18.0,0.45,-97.5,65.69,2020
"Oct 28, 2020",BOAC,Bluescape Opportunities Acquisition Corp.,10.0,10.03,0.3,226.55,2020
"Oct 28, 2020",GATO,"Gatos Silver, Inc.",7.0,14.4,105.71,998.75,2020
"Oct 28, 2020",MAX,"MediaAlpha, Inc.",19.0,9.93,-47.74,669.97,2020
"Oct 28, 2020",ROOT,"Root, Inc.",27.0,137.76,410.22,2120.0,2020
"Oct 23, 2020",EUCR,Eucrates Biomedical Acquisition Corp.,10.0,10.04,0.4,42.23,2020
"Oct 23, 2020",FHTX,Foghorn Therapeutics Inc.,16.0,3.98,-75.13,221.34,2020
"Oct 22, 2020",ABCM,Abcam PLC,17.5,23.99,37.09,5520.0,2020
"Oct 22, 2020",GHLD,Guild Holdings Company,15.0,12.41,-17.27,768.06,2020
"Oct 22, 2020",MCFE,McAfee Corp.,20.0,25.99,29.95,4890.0,2020
"Oct 21, 2020",YGMZ,MingZhu Logistics Holdings Limited,4.0,1.28,-68.0,98.15,2020
"Oct 20, 2020",HZON,Horizon Acquisition Corporation II,10.0,11.33,13.25,343.7,2020
"Oct 16, 2020",ALGS,"Aligos Therapeutics, Inc.",15.0,4.63,-69.13,28.31,2020
"Oct 16, 2020",BTWN,Bridgetown Holdings Limited,10.0,,,184.3,2020
"Oct 16, 2020",EAR,"Eargo, Inc.",18.0,2.57,-85.72,53.36,2020
"Oct 16, 2020",OPT,Opthea Limited,13.5,3.41,-74.74,466.57,2020
"Oct 16, 2020",PRAX,"Praxis Precision Medicines, Inc.",19.0,35.17,85.11,716.38,2020
"Oct 16, 2020",TARS,"Tarsus Pharmaceuticals, Inc.",16.0,46.45,190.31,1950.0,2020
"Oct 15, 2020",ARRY,"Array Technologies, Inc.",22.0,5.15,-76.59,785.44,2020
"Oct 15, 2020",EBC,"Eastern Bankshares, Inc.",10.0,15.13,51.3,3020.0,2020
"Oct 15, 2020",MNSO,MINISO Group Holding Limited,20.0,18.54,-7.3,5690.0,2020
"Oct 9, 2020",IH,iHuman Inc.,12.0,2.38,-80.17,123.12,2020
"Oct 9, 2020",INTZ,Intrusion Inc.,8.0,1.4,-82.56,27.75,2020
"Oct 9, 2020",KRON,"Kronos Bio, Inc.",19.0,0.71,-96.26,43.3,2020
"Oct 9, 2020",SPRB,"Spruce Biosciences, Inc.",15.0,0.08,-99.48,3.32,2020
"Oct 9, 2020",STTK,"Shattuck Labs, Inc.",17.0,0.87,-94.88,41.73,2020
"Oct 8, 2020",ELUT,Elutia Inc.,17.0,1.88,-89.12,76.59,2020
"Oct 8, 2020",FUBO,fuboTV Inc.,10.0,2.61,-73.9,891.42,2020
"Oct 7, 2020",SQFT,"Presidio Property Trust, Inc.",5.0,0.62,-87.6,8.18,2020
"Oct 2, 2020",ASO,"Academy Sports and Outdoors, Inc.",13.0,37.73,190.23,2510.0,2020
"Oct 2, 2020",AVAN,Avanti Acquisition Corp.,10.0,10.04,0.4,753.0,2020
"Oct 2, 2020",CCCC,"C4 Therapeutics, Inc.",19.0,1.4,-92.63,100.1,2020
"Oct 2, 2020",IMNM,"Immunome, Inc.",12.0,7.62,-36.5,663.47,2020
"Oct 2, 2020",ONCR,"Oncorus, Inc.",15.0,0.13,-99.16,3.29,2020
